City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,longyearbyen,78.2186,15.6401,263.06,62,75,1.03,SJ,1699890610
143,mchinji,-13.7984,32.8802,296.49,60,63,2.46,MW,1699890610
144,callao,-12.0667,-77.15,293.31,77,100,2.57,PE,1699890610
145,lompoc,34.6391,-120.4579,290.81,81,0,5.81,US,1699890610
146,darnah,32.767,22.6367,294.86,77,6,9.41,LY,1699890611
147,georgetown,5.4112,100.3354,302.01,94,40,3.09,MY,1699889871
148,bang bua thong,13.9178,100.424,303.13,74,20,0.0,TH,1699890611
149,port mathurin,-19.6833,63.4167,299.2,89,75,0.0,MU,1699890612
150,flin flon,54.7682,-101.865,268.06,100,20,1.03,CA,1699890612
151,al bardiyah,31.7561,25.0865,295.16,64,0,5.8,LY,1699890612
152,college,64.8569,-147.8028,268.33,91,100,2.06,US,1699890612
153,tobruk,32.0836,23.9764,294.98,74,0,5.52,LY,1699890613
154,rozhyshche,50.9154,25.2691,279.33,83,64,3.36,UA,1699890613
155,fort st. john,56.2499,-120.8529,268.09,93,100,6.69,CA,1699890613
156,nemuro,43.3236,145.575,275.97,66,75,7.13,JP,1699890614
157,manokwari,-0.8667,134.0833,298.89,79,95,2.81,ID,1699890614
158,laguna,38.421,-121.4238,285.98,91,0,2.06,US,1699890614
159,sorsk,54.0033,90.2467,266.21,97,94,2.24,RU,1699890614
160,kangding,30.0513,101.9603,279.68,48,45,2.73,CN,1699890615
161,masterton,-40.9597,175.6575,286.42,81,29,3.13,NZ,1699890615
162,arenapolis,-14.4503,-56.8461,314.9,19,51,3.46,BR,1699890616
163,dudinka,69.4058,86.1778,264.08,96,100,4.02,RU,1699890616
164,qaqortoq,60.7167,-46.0333,267.81,95,100,1.34,GL,1699890617
165,lebu,-37.6167,-73.65,285.2,63,14,4.15,CL,1699890617
166,mingshui,36.7167,117.5,275.71,36,100,2.99,CN,1699890618
167,kapuskasing,49.4169,-82.4331,276.2,93,100,5.14,CA,1699890618
168,ahau,49.4169,-82.4331,276.2,93,100,5.14,CA,1699890618
169,tayaman,13.2295,120.5726,299.82,84,96,4.86,PH,1699890619
170,tolanaro,-25.0319,46.9987,299.19,73,20,2.06,MG,1699890619
171,udachny,66.4167,112.4,260.34,93,99,2.94,RU,1699890620
172,gamba,-2.65,10.0,300.79,76,28,3.31,GA,1699890620
